year,rep,strip,field_stag_start,perennial_trt,yr_in_perennial,ca,fe,k,mg,mn,ni,p,s,zn,protein,tkw
2012,3,4,2,IWG,3,0.349,39.681,4.103,2.134,36.752,0.331,4.216,1.341,29.175,121.550,25.787
2012,3,4,2,MIX,3,0.430,39.540,3.857,2.206,36.928,0.297,4.032,1.571,33.181,150.650,26.386
2012,3,3,2,IWG,4,0.357,39.584,3.975,2.174,35.645,0.400,4.144,1.421,26.679,127.800,25.662
2012,3,3,2,MIX,4,0.357,44.627,3.752,2.234,37.867,0.495,3.913,1.576,31.451,146.000,16.489
2012,3,2,2,IWG,5,0.394,39.213,4.532,2.341,36.504,0.541,4.608,1.449,33.346,119.100,25.152
2012,3,2,2,MIX,5,0.357,41.954,4.246,2.312,35.900,0.234,4.425,1.422,29.243,127.000,22.568
2012,3,2,2,AFW,5,0.376,42.860,4.329,2.233,40.247,0.565,4.474,1.375,28.577,112.050,25.480
2012,4,1,2,Alfalfa,2,0.363,32.495,4.473,2.303,33.013,0.670,4.542,1.229,31.900,107.450,23.673
2012,4,1,2,IWG,2,0.345,31.707,4.176,2.233,34.206,0.663,4.376,1.271,32.241,111.750,24.264
2012,4,1,2,MIX,2,0.368,32.001,4.533,2.396,37.519,0.828,4.708,1.308,40.641,105.700,24.327
2012,4,4,2,Alfalfa,3,0.490,45.887,4.013,2.392,38.574,0.252,4.331,1.757,23.699,164.250,26.455
2012,4,4,2,IWG,3,0.363,36.061,4.125,2.153,36.719,0.449,4.334,1.376,31.279,121.750,26.604
2012,4,4,2,MIX,3,0.432,44.101,3.916,2.267,39.261,0.713,4.226,1.627,32.965,153.300,27.060
2012,4,3,2,Alfalfa,4,0.418,38.414,4.362,2.423,33.698,0.552,4.843,1.549,27.324,138.700,24.506
2012,4,3,2,IWG,4,0.362,41.043,4.074,2.214,36.821,0.309,4.276,1.421,25.916,127.300,25.424
2012,4,2,2,Alfalfa,5,0.354,34.203,4.219,2.257,32.813,0.393,4.697,1.317,33.530,116.450,23.333
2012,4,2,2,IWG,5,0.369,40.502,4.421,2.348,41.999,0.560,4.665,1.354,30.233,116.700,25.361
2012,4,2,2,MIX,5,0.328,37.377,4.303,2.304,36.542,0.560,4.691,1.316,30.880,113.050,23.099
2012,4,2,2,AFW,5,0.340,39.251,4.181,2.150,41.818,0.432,4.356,1.305,25.633,113.050,25.061
2013,1,2,1,Alfalfa,2,0.387,42.731,5.059,2.384,42.919,0.658,5.351,1.714,43.515,150.350,27.048
2013,1,2,1,IWG,2,0.377,35.468,4.932,2.416,36.571,0.699,5.200,1.623,42.912,141.550,21.620
2013,1,2,1,MIX,2,0.428,34.758,4.940,2.418,28.947,0.701,5.228,1.547,46.991,139.850,20.633
2013,1,1,1,Alfalfa,3,0.374,43.518,4.822,2.244,41.567,0.459,5.095,1.671,39.320,150.200,25.364
2013,1,1,1,IWG,3,0.379,35.345,5.012,2.478,36.872,0.815,5.251,1.607,43.656,140.200,21.636
2013,1,1,1,MIX,3,0.470,33.591,5.175,2.472,29.710,0.774,5.364,1.593,47.443,138.500,22.259
2013,1,3,1,Alfalfa,4,0.381,44.035,4.885,2.475,45.449,0.554,5.385,1.787,45.353,155.650,24.797
2013,1,3,1,IWG,4,0.428,40.611,5.156,2.644,39.804,1.106,5.612,1.816,47.507,149.800,22.795
2013,1,3,1,MIX,4,0.475,35.765,5.471,2.623,35.593,0.824,5.796,1.816,54.806,144.800,21.712
2013,1,4,1,Alfalfa,5,0.370,44.637,4.704,2.498,45.439,0.664,5.274,1.837,44.730,165.550,27.173
2013,1,4,1,IWG,5,0.427,35.754,5.111,2.477,35.427,0.924,5.365,1.661,48.522,146.650,22.209
2013,1,4,1,MIX,5,0.430,38.031,4.802,2.445,40.248,0.637,5.302,1.733,46.441,157.800,23.868
2013,1,4,1,AFW,5,0.430,50.172,4.417,2.327,45.803,0.648,4.749,1.930,36.896,177.450,25.465
2013,2,2,1,Alfalfa,2,0.373,37.810,4.485,2.368,38.554,0.648,4.652,1.675,45.596,159.850,22.776
2013,2,2,1,IWG,2,0.365,34.056,4.530,2.119,41.545,0.670,4.619,1.547,47.914,144.050,22.925
2013,2,2,1,MIX,2,0.396,38.418,4.943,2.461,35.379,0.720,5.185,1.776,45.942,152.700,21.644
2013,2,1,1,Alfalfa,3,0.369,34.863,4.586,2.408,35.991,0.756,4.768,1.654,44.744,150.800,23.955
2013,2,1,1,IWG,3,0.371,36.745,4.784,2.391,44.373,0.871,4.927,1.678,50.436,145.950,23.894
2013,2,1,1,MIX,3,0.416,37.987,5.077,2.569,34.948,0.726,5.489,1.772,47.580,154.800,23.030
2013,2,3,1,Alfalfa,4,0.369,42.506,4.897,2.589,46.225,0.760,5.189,1.829,53.276,154.850,24.055
2013,2,3,1,IWG,4,0.336,37.989,4.719,2.414,44.171,0.707,4.873,1.611,49.714,145.350,23.317
2013,2,3,1,MIX,4,0.423,35.217,4.987,2.428,38.896,0.971,5.330,1.707,47.732,146.700,21.302
2013,2,4,1,Alfalfa,5,0.422,50.956,5.104,2.817,55.063,0.639,5.487,2.097,55.743,174.150,25.733
2013,2,4,1,IWG,5,0.389,33.074,4.581,2.230,37.690,0.807,4.671,1.611,43.620,146.700,21.872
2013,2,4,1,MIX,5,0.422,36.853,4.919,2.392,36.090,0.603,5.221,1.704,45.100,154.500,22.577
